genome,completeness,contamination
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043.fasta,21.11,0
Broecker_Sample_ID29-1191-0_NODE_1826_length_7254_cov_8.801361.fasta,0,0
Broecker_Sample_ID29-1191-0_NODE_1995_length_6797_cov_9.057698.fasta,21.52,0
Broecker_Sample_ID29-1191-0_NODE_2048_length_6665_cov_14.955068.fasta,0,0
Broecker_Sample_ID29-1191-0_NODE_2911_length_5216_cov_10.715171.fasta,8.94,0
Broecker_Sample_ID29-1191-0_NODE_2913_length_5215_cov_19.495155.fasta,8.75,0
Broecker_Sample_ID29-1191-0_NODE_364_length_23296_cov_8.034035.fasta,57.41,0
Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573.fasta,0,0
Broecker_Sample_ID29-1191-0_NODE_952_length_11499_cov_5.112985.fasta,25.49,0
Broecker_Sample_ID29-1191-3_NODE_1000_length_7331_cov_2.968252.fasta,8.84,0
Broecker_Sample_ID29-1191-3_NODE_102_length_38363_cov_11.011251.fasta,100,0
Broecker_Sample_ID29-1191-3_NODE_1021_length_7202_cov_3.017350.fasta,19.92,0
Broecker_Sample_ID29-1191-3_NODE_1210_length_6284_cov_3.820677.fasta,0,0
Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916.fasta,0,0
Broecker_Sample_ID29-1191-3_NODE_381_length_14378_cov_2.795364.fasta,0,0
Broecker_Sample_ID29-1192-0_NODE_1219_length_10495_cov_2.580843.fasta,21.16,0
Broecker_Sample_ID29-1192-0_NODE_1404_length_9390_cov_2.567542.fasta,17.56,0
Broecker_Sample_ID29-1192-0_NODE_1406_length_9387_cov_3.922096.fasta,22.78,0
Broecker_Sample_ID29-1192-0_NODE_1514_length_8834_cov_5.258116.fasta,21.89,0
Broecker_Sample_ID29-1192-0_NODE_153_length_54007_cov_4.436388.fasta,60.82,0
Broecker_Sample_ID29-1192-0_NODE_1566_length_8626_cov_2.555361.fasta,13,36.91
Broecker_Sample_ID29-1192-0_NODE_1718_length_7884_cov_2.240644.fasta,8.41,28.68
Broecker_Sample_ID29-1192-0_NODE_1948_length_7150_cov_2.136716.fasta,11.96,0
Broecker_Sample_ID29-1192-0_NODE_1992_length_6996_cov_6.475436.fasta,18.24,0
Broecker_Sample_ID29-1192-0_NODE_2299_length_6143_cov_2.917871.fasta,17.7,0
Broecker_Sample_ID29-1192-0_NODE_2656_length_5395_cov_2.445880.fasta,14.66,0
Broecker_Sample_ID29-1192-0_NODE_2701_length_5339_cov_2.627176.fasta,16.51,0
Broecker_Sample_ID29-1192-0_NODE_2896_length_5046_cov_4.049890.fasta,13.44,0
Broecker_Sample_ID29-1192-0_NODE_357_length_26490_cov_8.543787.fasta,60.53,0
Broecker_Sample_ID29-1192-0_NODE_441_length_22475_cov_57.549509.fasta,7.71,42.05
Broecker_Sample_ID29-1192-0_NODE_84_length_88214_cov_60.298688.fasta,100,20.09
Broecker_Sample_ID29-1192-0_NODE_959_length_12695_cov_18.701503.fasta,28.64,0
Broecker_Sample_ID29-1192-0_NODE_991_length_12423_cov_4.535899.fasta,29.98,0
Broecker_Sample_ID29-1192-4_NODE_1172_length_6460_cov_1.964871.fasta,14.42,0
Broecker_Sample_ID29-1192-4_NODE_1183_length_6382_cov_5.205785.fasta,13.59,0
Broecker_Sample_ID29-1192-4_NODE_1215_length_6176_cov_11.585035.fasta,0,0
Broecker_Sample_ID29-1192-4_NODE_1405_length_5368_cov_3.313382.fasta,6.45,0
Broecker_Sample_ID29-1192-4_NODE_415_length_17962_cov_6.259619.fasta,38.11,0
Broecker_Sample_ID29-1192-4_NODE_522_length_14236_cov_4.115577.fasta,14.09,0
Broecker_Sample_ID29-1192-4_NODE_730_length_10286_cov_6.647640.fasta,22.71,0
Broecker_Sample_ID29-1192-4_NODE_814_length_9379_cov_2.397147.fasta,17.78,0
Broecker_Sample_ID29-1192-4_NODE_854_length_9003_cov_4.424676.fasta,19.23,0
Broecker_Sample_ID29-1192-4_NODE_954_length_8106_cov_2.040864.fasta,19.47,0
Broecker_Sample_ID29-1193-0_NODE_1665_length_8912_cov_14.103308.fasta,5.56,0
Broecker_Sample_ID29-1193-0_NODE_2859_length_5823_cov_2.295596.fasta,13.15,0
Broecker_Sample_ID29-1193-0_NODE_3050_length_5532_cov_3.158846.fasta,16.43,0
Broecker_Sample_ID29-1193-0_NODE_3165_length_5377_cov_8.867907.fasta,9.76,0
Broecker_Sample_ID29-1193-0_NODE_552_length_20351_cov_8.841791.fasta,67.38,0
