"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_7467","0"
"2","AB008550_0A_Rev_26680","1"
"3","AB008550_0A_Rev_5557","2"
"4","AB008550_0A_Fwd_3188","3"
"5","OR683410_0A_Fwd_4107","3"
"6","AB008550_0A_Rev_3579","4"
"7","AB008550_0A_Rev_20698","5"
"8","AB008550_0A_Fwd_29808","6"
"9","MK034952_0A_Fwd_30513","6"
"10","AB008550_0A_Fwd_17634","7"
"11","AB009866_0A_Fwd_27792","8"
"12","AB009866_0A_Fwd_8813","9"
"13","AB009866_0A_Rev_18483","10"
"14","AB016282_0A_Rev_23858","11"
"15","AB016282_0A_Fwd_15558","12"
"16","AB016282_0A_Fwd_23960","13"
"17","AB016282_0A_Rev_37897","14"
"18","AB016282_0A_Fwd_779","15"
"19","AB036666_0A_Rev_9167","16"
"20","AB043678_0A_Fwd_3336","17"
"21","AB044554_0A_Rev_8269","18"
"22","AB045978_0A_Rev_38256","19"
"23","AB045978_0A_Fwd_37009","20"
"24","LC541428_0A_Fwd_39924","20"
"25","AB045978_0A_Fwd_11184","21"
"26","ON911716_0A_Fwd_10749","21"
"27","AB045978_0A_Fwd_15369","22"
"28","JX174275_0A_Fwd_40516","22"
"29","AB231700_0A_Fwd_130016","23"
"30","AB231700_0A_Rev_107018","24"
"31","PP681321_0A_Rev_112999","24"
"32","AB231700_0A_Fwd_143690","25"
"33","AB231700_0A_Rev_136234","26"
"34","AB231700_0A_Fwd_29734","27"
"35","AB231700_0A_Fwd_26099","28"
"36","AB243556_0A_Rev_9131","29"
"37","CP062426_0A_Rev_30973","29"
"38","AB259123_0A_Fwd_5109","30"
"39","AB276040_0A_Rev_38087","31"
"40","AB276040_0A_Rev_38563","32"
"41","AB276040_0A_Rev_23544","33"
"42","AB276040_0A_Rev_32108","34"
"43","ON170213_0A_Rev_29527","34"
"44","AB276040_0A_Fwd_33043","35"
"45","AB362338_0A_Fwd_34103","36"
"46","AB362338_0A_Rev_36608","37"
"47","AB362338_0A_Rev_7880","38"
"48","AB362338_0A_Fwd_6408","39"
"49","AB366653_0A_Fwd_144098","40"
"50","AB366653_0A_Fwd_83880","41"
"51","AB366653_0A_Fwd_77710","42"
"52","AB366653_0A_Fwd_201127","43"
"53","AB366653_0A_Rev_74078","44"
"54","AB366653_0A_Fwd_110202","45"
"55","AB366653_0A_Fwd_187785","46"
"56","AB366653_0A_Fwd_151501","47"
