"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_7467","0"
"2","AB008550_0A_Rev_26680","1"
"3","AB008550_0A_Rev_5557","2"
"4","AB008550_0A_Fwd_3188","3"
"5","AB008550_0A_Rev_3579","4"
"6","AB008550_0A_Rev_20698","5"
"7","AB008550_0A_Fwd_29808","6"
"8","AB008550_0A_Fwd_17634","7"
"9","OM638608_0A_Fwd_16628","7"
"10","AB009866_0A_Fwd_27792","8"
"11","AB009866_0A_Fwd_8813","9"
"12","AB009866_0A_Rev_18483","10"
"13","AB016282_0A_Rev_23858","11"
"14","AB016282_0A_Fwd_15558","12"
"15","AB016282_0A_Fwd_23960","13"
"16","AB016282_0A_Rev_37897","14"
"17","AB016282_0A_Fwd_779","15"
"18","AB036666_0A_Rev_9167","16"
"19","AB043678_0A_Fwd_3336","17"
"20","AB044554_0A_Rev_8269","18"
"21","AB045978_0A_Rev_38256","19"
"22","AB045978_0A_Fwd_37009","20"
"23","AP012341_0A_Fwd_40944","20"
"24","AB045978_0A_Fwd_11184","21"
"25","AB045978_0A_Fwd_15369","22"
"26","AB231700_0A_Fwd_130016","23"
"27","AB231700_0A_Rev_107018","24"
"28","AB231700_0A_Fwd_143690","25"
"29","AB231700_0A_Rev_136234","26"
"30","AB231700_0A_Fwd_29734","27"
"31","KF356199_0A_Fwd_34258","27"
"32","AB231700_0A_Fwd_26099","28"
"33","AB243556_0A_Rev_9131","29"
"34","AB259123_0A_Fwd_5109","30"
"35","AB276040_0A_Rev_38087","31"
"36","AB276040_0A_Rev_38563","32"
"37","AB276040_0A_Rev_23544","33"
"38","ON170076_0A_Rev_31916","33"
"39","AB276040_0A_Rev_32108","34"
"40","AB276040_0A_Fwd_33043","35"
"41","AB362338_0A_Fwd_34103","36"
"42","JQ806763_0A_Fwd_32197","36"
"43","AB362338_0A_Rev_36608","37"
"44","AB362338_0A_Rev_7880","38"
"45","MG407615_0A_Rev_22826","38"
"46","AB362338_0A_Fwd_6408","39"
"47","AB366653_0A_Fwd_144098","40"
"48","AB366653_0A_Fwd_83880","41"
"49","AB366653_0A_Fwd_77710","42"
"50","AB366653_0A_Fwd_201127","43"
"51","AB366653_0A_Rev_74078","44"
"52","AB366653_0A_Fwd_110202","45"
"53","AB366653_0A_Fwd_187785","46"
"54","AB366653_0A_Fwd_151501","47"
"55","AB366653_0A_Rev_176955","48"
"56","AB366653_0A_Fwd_141284","49"
