"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_7467","0"
"2","AB008550_0A_Rev_26680","1"
"3","AB008550_0A_Rev_5557","2"
"4","BK061475_0A_Rev_4821","2"
"5","AB008550_0A_Fwd_3188","3"
"6","MK034952_0A_Fwd_4545","3"
"7","AB008550_0A_Rev_3579","4"
"8","MK511066_0A_Rev_3570","4"
"9","AB008550_0A_Rev_20698","5"
"10","AB008550_0A_Fwd_29808","6"
"11","BK061475_0A_Fwd_29539","6"
"12","AB008550_0A_Fwd_17634","7"
"13","MK034952_0A_Fwd_18401","7"
"14","AB009866_0A_Fwd_27792","8"
"15","AB243556_0A_Fwd_5369","8"
"16","AB009866_0A_Fwd_8813","9"
"17","OQ588745_0A_Fwd_13310","9"
"18","AB009866_0A_Rev_18483","10"
"19","AB016282_0A_Rev_23858","11"
"20","AB016282_0A_Fwd_15558","12"
"21","OM236514_0A_Fwd_15640","12"
"22","AB016282_0A_Fwd_23960","13"
"23","AB016282_0A_Rev_37897","14"
"24","AB016282_0A_Fwd_779","15"
"25","AB036666_0A_Rev_9167","16"
"26","AB043678_0A_Fwd_3336","17"
"27","MT188662_0A_Fwd_4922","17"
"28","MT188663_0A_Fwd_4923","17"
"29","AB044554_0A_Rev_8269","18"
"30","AB045978_0A_Rev_38256","19"
"31","AF424781_0A_Rev_36607","19"
"32","AB045978_0A_Fwd_37009","20"
"33","AB045978_0A_Fwd_11184","21"
"34","KT809368_0A_Fwd_35096","21"
"35","AB045978_0A_Fwd_15369","22"
"36","AB231700_0A_Fwd_130016","23"
"37","AB231700_0A_Rev_107018","24"
"38","KF356199_0A_Rev_115360","24"
"39","AB231700_0A_Fwd_143690","25"
"40","KF356199_0A_Fwd_150780","25"
"41","AB231700_0A_Rev_136234","26"
"42","AB231700_0A_Fwd_29734","27"
"43","AB231700_0A_Fwd_26099","28"
"44","AB243556_0A_Rev_9131","29"
"45","AB370268_0A_Rev_7191","29"
"46","AY954963_0A_Rev_34488","29"
"47","AB259123_0A_Fwd_5109","30"
"48","AB276040_0A_Rev_38087","31"
"49","AB276040_0A_Rev_38563","32"
"50","AB276040_0A_Rev_23544","33"
"51","ON170084_0A_Rev_10155","33"
"52","AB276040_0A_Rev_32108","34"
"53","AB276040_0A_Fwd_33043","35"
"54","AB362338_0A_Fwd_34103","36"
"55","JF900176_0A_Fwd_14730","36"
"56","AB362338_0A_Rev_36608","37"
