"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_7467","0"
"2","AB008550_0A_Rev_26680","1"
"3","AB008550_0A_Rev_5557","2"
"4","AB008550_0A_Fwd_3188","3"
"5","HG803181_0A_Fwd_15307","3"
"6","AB008550_0A_Rev_3579","4"
"7","AB008550_0A_Rev_20698","5"
"8","AB008550_0A_Fwd_29808","6"
"9","AB008550_0A_Fwd_17634","7"
"10","OP131587_0A_Fwd_20544","7"
"11","AB009866_0A_Fwd_27792","8"
"12","AB009866_0A_Fwd_8813","9"
"13","AB009866_0A_Rev_18483","10"
"14","AB016282_0A_Rev_23858","11"
"15","AB016282_0A_Fwd_15558","12"
"16","AB016282_0A_Fwd_23960","13"
"17","OM236514_0A_Fwd_23635","13"
"18","AB016282_0A_Rev_37897","14"
"19","ON528935_0A_Rev_12055","14"
"20","AB016282_0A_Fwd_779","15"
"21","AB036666_0A_Rev_9167","16"
"22","AB043678_0A_Fwd_3336","17"
"23","AB044554_0A_Rev_8269","18"
"24","AB045978_0A_Rev_38256","19"
"25","AB045978_0A_Fwd_37009","20"
"26","AB045978_0A_Fwd_11184","21"
"27","AB045978_0A_Fwd_15369","22"
"28","AB231700_0A_Fwd_130016","23"
"29","AB231700_0A_Rev_107018","24"
"30","AB231700_0A_Fwd_143690","25"
"31","AB231700_0A_Rev_136234","26"
"32","AB231700_0A_Fwd_29734","27"
"33","AB231700_0A_Fwd_26099","28"
"34","AB243556_0A_Rev_9131","29"
"35","KU160494_0A_Fwd_129682","29"
"36","AB259123_0A_Fwd_5109","30"
"37","AB276040_0A_Rev_38087","31"
"38","AB276040_0A_Rev_38563","32"
"39","AB276040_0A_Rev_23544","33"
"40","MG747435_0A_Rev_23055","33"
"41","AB276040_0A_Rev_32108","34"
"42","MG747435_0A_Rev_31949","34"
"43","AB276040_0A_Fwd_33043","35"
"44","AB362338_0A_Fwd_34103","36"
"45","AB362338_0A_Rev_36608","37"
"46","AB362338_0A_Rev_7880","38"
"47","OM022251_0A_Rev_35281","38"
"48","AB362338_0A_Fwd_6408","39"
"49","AB366653_0A_Fwd_144098","40"
"50","KJ621082_0A_Fwd_9604","40"
"51","AB366653_0A_Fwd_83880","41"
"52","AB366653_0A_Fwd_77710","42"
"53","AB366653_0A_Fwd_201127","43"
"54","AB366653_0A_Rev_74078","44"
"55","AB366653_0A_Fwd_110202","45"
"56","AB366653_0A_Fwd_187785","46"
