genome,cluster,score
OP493557.fna,0_1110,2.3183350672873626
AB016282.fna,0_1555,2.3038826945241575
AB044554.fna,0_890,1.3376537857296036
AB045978.fna,0_1105,1.3244411337987931
AB243556.fna,0_938,1.3339151124766553
AB370205.fna,0_970,1.3314076388115974
AB370268.fna,0_1100,1.3247897699800593
AB605730.fna,0_262,1.5871601334839882
AB609718.fna,0_304,2.5842399419992197
AB626962.fna,0_2572,1.1376535606058393
AB626963.fna,0_2571,1.1378685933756332
AB711120.fna,0_775,1.3611924473871322
AB712291.fna,0_741,1.3741807943349036
AB823818.fna,0_1683,1.2984567883603635
AB853330.fna,0_363,1.580657261561711
AB853331.fna,0_451,1.5684892131358383
AB903967.fna,0_303,1.5842878699915124
AB930182.fna,0_189,1.5990203450241727
ACSJ01000013.fna,0_2678,1.0192348063838845
ACSJ01000015.fna,0_2620,1.1266713146630871
ACSJ01000017.fna,0_570,1.4443665028959005
ACSJ01000018.fna,0_2661,1.0881742303805488
AF009630.fna,0_2210,1.2588992202235763
KF676640.fna,0_2353,2.2349656817435584
AF020713.fna,0_429,1.5722254836823017
AF085222.fna,0_2002,1.2788831997557994
AF109874.fna,0_1654,1.2998656967316968
AF115102.fna,0_1760,1.2942615489248186
AF115103.fna,0_1387,1.313005182192013
AF145054.fna,0_1946,1.2829061048662656
AF158600.fna,0_1501,1.3079797244044644
AF176025.fna,0_1476,2.3090462810963563
AF195902.fna,0_1365,1.3137607553193233
AF242738.fna,0_2190,1.261739030015252
AF304433.fna,0_1724,1.2959805160303755
AF323668.fna,0_1940,1.2833464915122934
AF323669.fna,0_1231,1.3187646960349237
AF323670.fna,0_1799,1.2918013444999445
AF323671.fna,0_2653,1.0954222468277277
AF323672.fna,0_2660,1.088833706218868
AF323673.fna,0_2651,1.0986215804837047
AF349457.fna,0_1815,1.2909121075355685
AF424781.fna,0_1020,1.3277631654857314
AF424782.fna,0_933,1.334461443783971
AF424783.fna,0_1134,1.3233257878416205
AF489521.fna,0_1829,1.2897168094613818
AF513033.fna,0_2567,2.1357195548156667
AJ131519.fna,0_1005,1.328662677021848
AJ242593.fna,0_1373,1.3135109622225807
AJ251789.fna,0_1051,1.3267998951017934
AJ302074.fna,0_1441,2.309362449476351
AJ312240.fna,0_1732,1.2956978510557033
AJ421943.fna,0_2676,1.0258749186598304
CP013282.fna,0_2652,2.0952541714467348
AJ609634.fna,0_1106,1.32440573361737
AM749121.fna,0_2231,1.2547081114335668
AP001553.fna,0_1093,1.3251428878125244
AP008953.fna,0_1066,1.3260683540255256
AP008954.fna,0_1064,1.3261536603479551
AP008983.fna,0_26,1.6423860721064183
AP009363.fna,0_845,1.3456233005461775
AP011956.fna,0_1161,2.3205427573838855
AP012341.fna,0_849,2.343925081109013
AP013029.fna,0_158,1.604048054000343
AP018361.fna,0_1645,1.300284332121636
AP018375.fna,0_335,1.5826680703946319
AP018714.fna,0_272,2.5865853816721054
AP018715.fna,0_278,1.5857378590601
AP019522.fna,0_450,1.5685368700841904
AP019527.fna,0_619,1.3964703893600352
AP019560.fna,0_1409,1.3118883018708467
