"","Accession","bac.host","total.ParS.hits","pos.ParS.hit"
"1","AB002632","Actinomycetota",0,0
"2","AB008550","Actinomycetota",0,0
"3","AB009866","Pseudomonadota",0,0
"4","AB012574","Actinomycetota",0,0
"5","AB016282","Pseudomonadota",0,0
"6","AB036666","Actinomycetota",0,0
"7","AB043678","Actinomycetota",0,0
"8","AB043679","Actinomycetota",0,0
"9","AB044554","Pseudomonadota",0,0
"10","AB045978","Pseudomonadota",0,0
"11","AB063393","Pseudomonadota",0,0
"12","AB231700","Pseudomonadota",0,0
"13","AB243556","Pseudomonadota",0,0
"14","AB259123","Actinomycetota",0,0
"15","AB259124","Actinomycetota",0,0
"16","AB276040","Actinomycetota",0,0
"17","AB362338","Actinomycetota",0,0
"18","AB366653","Actinomycetota",0,0
"19","AB370205","Pseudomonadota",0,0
"20","AB370268","Pseudomonadota",0,0
"21","AB374228","Actinomycetota",0,0
"22","AB426868","Actinomycetota",0,0
"23","AB434711","Actinomycetota",0,0
"24","AB451219","Actinomycetota",0,0
"25","AB472900","Actinomycetota",0,0
"26","AB560486","Actinomycetota",0,0
"27","AB572858","Actinomycetota",0,0
"28","AB597179","Actinomycetota",0,0
"29","AB605730","Pseudomonadota",0,0
"30","AB609718","Pseudomonadota",0,0
"31","AB626962","Pseudomonadota",0,0
"32","AB626963","Pseudomonadota",0,0
"33","AB647160","Pseudomonadota",0,0
"34","AB711120","Pseudomonadota",0,0
"35","AB712291","Pseudomonadota",0,0
"36","AB716666","Actinomycetota",0,0
"37","AB720063","Actinomycetota",0,0
"38","AB720064","Actinomycetota",0,0
"39","AB731695","Pseudomonadota",0,0
"40","AB746912","Pseudomonadota",0,0
"41","AB757800","Actinomycetota",0,0
"42","AB757801","Actinomycetota",0,0
"43","AB767244","Actinomycetota",0,0
"44","AB775548","Actinomycetota",0,0
"45","AB775549","Actinomycetota",0,0
"46","AB797215","Actinomycetota",0,0
"47","AB823818","Pseudomonadota",0,0
"48","AB828698","Actinomycetota",0,0
"49","AB853330","Pseudomonadota",0,0
"50","AB853331","Pseudomonadota",0,0
"51","AB854109","Actinomycetota",0,0
"52","AB863625","Actinomycetota",0,0
"53","AB897757","Actinomycetota",0,0
"54","AB903967","Pseudomonadota",0,0
"55","AB910392","Actinomycetota",0,0
"56","AB910393","Actinomycetota",0,0
"57","AB910602","Actinomycetota",0,0
"58","AB916497","Actinomycetota",0,0
"59","AB920995","Actinomycetota",0,0
"60","AB930182","Pseudomonadota",0,0
"61","AB931172","Actinomycetota",0,0
"62","AB937974","Actinomycetota",0,0
"63","AB967974","Actinomycetota",0,0
"64","AB971354","Actinomycetota",0,0
"65","AB981169","Actinomycetota",0,0
"66","AB981170","Actinomycetota",0,0
"67","AB983711","Actinomycetota",0,0
"68","AC171169","Actinomycetota",0,0
"69","ACSJ01000013","Pseudomonadota",0,0
"70","ACSJ01000015","Pseudomonadota",0,0
"71","ACSJ01000017","Pseudomonadota",0,0
"72","ACSJ01000018","Pseudomonadota",0,0
"73","AE002163","Pseudomonadota",0,0
"74","AF009630","Pseudomonadota",0,0
"75","AF020713","Pseudomonadota",0,0
"76","AF022214","Pseudomonadota",0,0
"77","AF059242","Actinomycetota",0,0
"78","AF064539","Actinomycetota",0,0
"79","AF068845","Pseudomonadota",0,0
"80","AF069308","Actinomycetota",0,0
"81","AF069529","Actinomycetota",0,0
"82","AF083977","Actinomycetota",0,0
"83","AF085222","Pseudomonadota",0,0
"84","AF109874","Pseudomonadota",0,0
"85","AF115102","Pseudomonadota",0,0
"86","AF115103","Pseudomonadota",0,0
"87","AF125520","Actinomycetota",0,0
"88","AF145054","Pseudomonadota",0,0
"89","AF155037","Actinomycetota",0,0
"90","AF157835","Actinomycetota",0,0
"91","AF158101","Actinomycetota",0,0
"92","AF158600","Pseudomonadota",0,0
"93","AF165214","Actinomycetota",0,0
"94","AF176025","Pseudomonadota",0,0
"95","AF176027","Actinomycetota",0,0
"96","AF176028","Actinomycetota",0,0
"97","AF176029","Actinomycetota",0,0
