"","ID","host_phage_spor","total.ParS.hits","pos.ParS.hit"
"1","Broecker_Sample_ID29-1191-0_NODE_2911_length_5216_cov_10.715171","Bacillota_Temp_Spor",0,0
"2","Broecker_Sample_ID29-1191-0_NODE_364_length_23296_cov_8.034035","Bacillota_Temp_NonSpor",0,0
"3","Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573","Bacillota_Temp_Spor",0,0
"4","Broecker_Sample_ID29-1191-0_NODE_952_length_11499_cov_5.112985","Bacillota_Temp_NonSpor",0,0
"5","Broecker_Sample_ID29-1191-3_NODE_1210_length_6284_cov_3.820677","Bacillota_Temp_Spor",0,0
"6","Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916","Bacillota_Temp_NonSpor",0,0
"7","Broecker_Sample_ID29-1192-0_NODE_1219_length_10495_cov_2.580843","Bacillota_Temp_NonSpor",0,0
"8","Broecker_Sample_ID29-1192-0_NODE_1404_length_9390_cov_2.567542","Bacillota_Lytic_Spor",0,0
"9","Broecker_Sample_ID29-1192-0_NODE_1514_length_8834_cov_5.258116","OtherPhyla_Temp_NonSpor",0,0
"10","Broecker_Sample_ID29-1192-0_NODE_1718_length_7884_cov_2.240644","Bacillota_Temp_Spor",0,0
"11","Broecker_Sample_ID29-1192-0_NODE_1992_length_6996_cov_6.475436","Bacillota_Temp_Spor",0,0
"12","Broecker_Sample_ID29-1192-0_NODE_2299_length_6143_cov_2.917871","Bacillota_Temp_Spor",0,0
"13","Broecker_Sample_ID29-1192-0_NODE_357_length_26490_cov_8.543787","Bacillota_Temp_NonSpor",0,0
"14","Broecker_Sample_ID29-1192-0_NODE_991_length_12423_cov_4.535899","Bacillota_Temp_Spor",0,0
"15","Broecker_Sample_ID29-1192-4_NODE_1172_length_6460_cov_1.964871","OtherPhyla_Temp_NonSpor",0,0
"16","Broecker_Sample_ID29-1192-4_NODE_1183_length_6382_cov_5.205785","OtherPhyla_Temp_NonSpor",0,0
"17","Broecker_Sample_ID29-1192-4_NODE_415_length_17962_cov_6.259619","OtherPhyla_Temp_NonSpor",0,0
"18","Broecker_Sample_ID29-1192-4_NODE_522_length_14236_cov_4.115577","Bacillota_Temp_NonSpor",0,0
"19","Broecker_Sample_ID29-1192-4_NODE_854_length_9003_cov_4.424676","OtherPhyla_Temp_NonSpor",0,0
"20","Broecker_Sample_ID29-1192-4_NODE_954_length_8106_cov_2.040864","Bacillota_Temp_NonSpor",0,0
"21","Broecker_Sample_ID29-1193-5_NODE_1277_length_5679_cov_2.197013","Bacillota_Lytic_NonSpor",0,0
