genome,threshold,cluster_method,comparison_algorithm,greedy_representative,primary_cluster,original_secondary_cluster,secondary_cluster
AB009866.fna,0.005,greedy,fastANI,True,0,0_1367,0_1367
AB016282.fna,0.005,greedy,fastANI,True,0,0_1640,0_1640
AB044554.fna,0.005,greedy,fastANI,True,0,0_968,0_968
AB045978.fna,0.005,greedy,fastANI,True,0,0_1185,0_1185
AB243556.fna,0.005,greedy,fastANI,True,0,0_1016,0_1016
AB370205.fna,0.005,greedy,fastANI,True,0,0_1048,0_1048
AB370268.fna,0.005,greedy,fastANI,True,0,0_1180,0_1180
AB605730.fna,0.005,greedy,fastANI,True,0,0_300,0_300
AB609718.fna,0.005,greedy,fastANI,False,0,0_347,0_347
AB626962.fna,0.005,greedy,fastANI,True,0,0_2690,0_2690
AB626963.fna,0.005,greedy,fastANI,True,0,0_2689,0_2689
AB711120.fna,0.005,greedy,fastANI,True,0,0_853,0_853
AB712291.fna,0.005,greedy,fastANI,True,0,0_819,0_819
AB823818.fna,0.005,greedy,fastANI,True,0,0_1771,0_1771
AB853330.fna,0.005,greedy,fastANI,True,0,0_416,0_416
AB853331.fna,0.005,greedy,fastANI,True,0,0_513,0_513
AB903967.fna,0.005,greedy,fastANI,True,0,0_346,0_346
AB930182.fna,0.005,greedy,fastANI,True,0,0_200,0_200
ACSJ01000013.fna,0.005,greedy,fastANI,True,0,0_2800,0_2800
ACSJ01000015.fna,0.005,greedy,fastANI,True,0,0_2738,0_2738
ACSJ01000017.fna,0.005,greedy,fastANI,True,0,0_643,0_643
ACSJ01000018.fna,0.005,greedy,fastANI,True,0,0_2783,0_2783
AF009630.fna,0.005,greedy,fastANI,True,0,0_2312,0_2312
AF011378.fna,0.005,greedy,fastANI,False,0,0_2467,0_2467
AF020713.fna,0.005,greedy,fastANI,True,0,0_490,0_490
AF085222.fna,0.005,greedy,fastANI,True,0,0_2097,0_2097
AF109874.fna,0.005,greedy,fastANI,True,0,0_1742,0_1742
AF115102.fna,0.005,greedy,fastANI,True,0,0_1852,0_1852
AF115103.fna,0.005,greedy,fastANI,True,0,0_1469,0_1469
AF145054.fna,0.005,greedy,fastANI,True,0,0_2040,0_2040
AF158600.fna,0.005,greedy,fastANI,True,0,0_1585,0_1585
AF176025.fna,0.005,greedy,fastANI,False,0,0_1560,0_1560
AF195902.fna,0.005,greedy,fastANI,True,0,0_1447,0_1447
AF242738.fna,0.005,greedy,fastANI,True,0,0_2288,0_2288
AF304433.fna,0.005,greedy,fastANI,True,0,0_1815,0_1815
AF323668.fna,0.005,greedy,fastANI,True,0,0_2034,0_2034
AF323669.fna,0.005,greedy,fastANI,True,0,0_1311,0_1311
AF323670.fna,0.005,greedy,fastANI,True,0,0_1892,0_1892
AF323671.fna,0.005,greedy,fastANI,True,0,0_2775,0_2775
AF323672.fna,0.005,greedy,fastANI,True,0,0_2782,0_2782
AF323673.fna,0.005,greedy,fastANI,True,0,0_2773,0_2773
AF349457.fna,0.005,greedy,fastANI,True,0,0_1908,0_1908
AF424781.fna,0.005,greedy,fastANI,True,0,0_1098,0_1098
AF424782.fna,0.005,greedy,fastANI,True,0,0_1011,0_1011
AF424783.fna,0.005,greedy,fastANI,True,0,0_1214,0_1214
AF489521.fna,0.005,greedy,fastANI,True,0,0_1922,0_1922
AF513032.fna,0.005,greedy,fastANI,True,0,0_2754,0_2754
AF513033.fna,0.005,greedy,fastANI,True,0,0_2685,0_2685
AJ131519.fna,0.005,greedy,fastANI,True,0,0_1083,0_1083
AJ242593.fna,0.005,greedy,fastANI,True,0,0_1455,0_1455
AJ245616.fna,0.005,greedy,fastANI,True,0,0_1560,0_1560
AJ251789.fna,0.005,greedy,fastANI,True,0,0_1130,0_1130
AJ302074.fna,0.005,greedy,fastANI,True,0,0_1525,0_1525
AJ312240.fna,0.005,greedy,fastANI,True,0,0_1823,0_1823
AJ421943.fna,0.005,greedy,fastANI,True,0,0_2798,0_2798
AJ536073.fna,0.005,greedy,fastANI,False,0,0_2774,0_2774
AJ609634.fna,0.005,greedy,fastANI,True,0,0_1186,0_1186
AM749121.fna,0.005,greedy,fastANI,True,0,0_2334,0_2334
AP001553.fna,0.005,greedy,fastANI,True,0,0_1172,0_1172
AP008953.fna,0.005,greedy,fastANI,True,0,0_1145,0_1145
AP008954.fna,0.005,greedy,fastANI,True,0,0_1143,0_1143
AP008983.fna,0.005,greedy,fastANI,True,0,0_27,0_27
AP009363.fna,0.005,greedy,fastANI,True,0,0_923,0_923
AP009390.fna,0.005,greedy,fastANI,True,0,0_347,0_347
AP011955.fna,0.005,greedy,fastANI,False,0,0_1241,0_1241
AP011956.fna,0.005,greedy,fastANI,True,0,0_1241,0_1241
AP012341.fna,0.005,greedy,fastANI,True,0,0_927,0_927
