genome,cluster,score
AB009866.fna,0_1367,1.313505415599542
AB016282.fna,0_1640,2.3008826945241574
AB044554.fna,0_968,1.3346537857296035
AB045978.fna,0_1185,1.321441133798793
AB243556.fna,0_1016,1.3309151124766552
AB370205.fna,0_1048,1.3284076388115973
AB370268.fna,0_1180,1.3217897699800591
AB605730.fna,0_300,1.584160133483988
AB609718.fna,0_347,2.5812399419992196
AB626962.fna,0_2690,1.1346535606058392
AB626963.fna,0_2689,1.134868593375633
AB711120.fna,0_853,1.358192447387132
AB712291.fna,0_819,1.3711807943349035
AB823818.fna,0_1771,1.2954567883603634
AB853330.fna,0_416,1.5776572615617108
AB853331.fna,0_513,1.5654892131358382
AB903967.fna,0_346,1.5812878699915123
AB930182.fna,0_200,1.5960203450241726
ACSJ01000013.fna,0_2800,1.0162348063838844
ACSJ01000015.fna,0_2738,1.123671314663087
ACSJ01000017.fna,0_643,1.4413665028959004
ACSJ01000018.fna,0_2783,1.0851742303805487
AF009630.fna,0_2312,1.2558992202235761
KF676640.fna,0_2467,2.2319656817435582
AF020713.fna,0_490,1.5692254836823016
AF085222.fna,0_2097,1.2758831997557993
AF109874.fna,0_1742,1.2968656967316967
AF115102.fna,0_1852,1.2912615489248185
AF115103.fna,0_1469,1.310005182192013
AF145054.fna,0_2040,1.2799061048662654
AF158600.fna,0_1585,1.3049797244044643
AF176025.fna,0_1560,2.3060462810963562
AF195902.fna,0_1447,1.3107607553193232
AF242738.fna,0_2288,1.258739030015252
AF304433.fna,0_1815,1.2929805160303753
AF323668.fna,0_2034,1.2803464915122933
AF323669.fna,0_1311,1.3157646960349236
AF323670.fna,0_1892,1.2888013444999444
AF323671.fna,0_2775,1.0924222468277276
AF323672.fna,0_2782,1.0858337062188679
AF323673.fna,0_2773,1.0956215804837046
AF349457.fna,0_1908,1.2879121075355684
AF424781.fna,0_1098,1.3247631654857313
AF424782.fna,0_1011,1.331461443783971
AF424783.fna,0_1214,1.3203257878416204
AF489521.fna,0_1922,1.2867168094613817
AF513032.fna,0_2754,2.117018164749845
AF513033.fna,0_2685,1.1353575967887806
AJ131519.fna,0_1083,1.3256626770218478
AJ242593.fna,0_1455,1.3105109622225806
AJ251789.fna,0_1130,1.3237998951017933
AJ302074.fna,0_1525,2.306362449476351
AJ312240.fna,0_1823,1.2926978510557032
AJ421943.fna,0_2798,1.0228749186598303
CP013282.fna,0_2774,2.0922541714467346
AJ609634.fna,0_1186,1.32140573361737
AM749121.fna,0_2334,1.2517081114335666
AP001553.fna,0_1172,1.3221428878125243
AP008953.fna,0_1145,1.3230683540255255
AP008954.fna,0_1143,1.323153660347955
AP008983.fna,0_27,1.6393860721064182
AP009363.fna,0_923,1.3426233005461774
AP011956.fna,0_1241,2.3175427573838854
AP012341.fna,0_927,2.3409250811090128
AP013029.fna,0_166,1.601048054000343
AP018361.fna,0_1733,1.2972843321216359
AP018375.fna,0_383,1.5796680703946318
AP018714.fna,0_311,2.5835853816721053
AP018715.fna,0_318,1.5827378590600998
AP019522.fna,0_512,1.5655368700841903
AP019527.fna,0_697,1.393470389360035
AP019560.fna,0_1491,1.3088883018708466
AP019561.fna,0_1406,1.3121796427418362
AP019562.fna,0_1541,1.306826549002571
AY007505.fna,0_2106,1.2751146688591413
AY082070.fna,0_2206,1.2675677728288584
AY131267.fna,0_1943,1.2859440638175608
KF766114.fna,0_247,2.5895149532185524
AY212251.fna,0_2756,1.1161891329724778
AY236756.fna,0_1917,1.2871791403251058
AY459533.fna,0_1737,1.2970751153118778
AY459535.fna,0_1535,1.3070590030960174
AY508486.fna,0_1323,1.3151096824344362
AY605066.fna,0_1653,1.3014546097893391
AY616446.fna,0_1414,1.3118786397210522
MT311968.fna,0_702,2.383248838141798
AY682195.fna,0_519,1.5644992021902913
AY699705.fna,0_2104,1.2751897673350587
AY701338.fna,0_2778,1.0907754728383727
AY739900.fna,0_2340,1.2512405050644384
AY766464.fna,0_1281,1.317001740165781
AY855346.fna,0_824,1.368465432060733
AY894696.fna,0_2765,1.1031848265838042
AY954948.fna,0_2766,1.1016040542472472
AY954949.fna,0_2687,1.135023762497661
AY954950.fna,0_1607,1.3039572356012639
AY954951.fna,0_1213,1.320376609860939
AY954952.fna,0_1074,1.3261481549266079
AY954953.fna,0_1052,1.3281185174776886
AY954954.fna,0_1377,1.3130696456543633
AY954955.fna,0_958,1.3357217601484095
AY954956.fna,0_1169,1.3222134425238141
AY954957.fna,0_1022,1.3305274965298302
AY954958.fna,0_1093,1.3251462861110537
AY954959.fna,0_989,1.3329819811115637
AY954960.fna,0_1104,1.3246236811325378
AY954961.fna,0_1154,1.3225155604730037
AY954962.fna,0_1166,1.322309158693701
AY954963.fna,0_1305,2.3141176404270003
AY954964.fna,0_1206,1.3207320313368465
AY954965.fna,0_1326,1.3150159475631487
AY954966.fna,0_1146,1.3228976407769912
AY954967.fna,0_1246,1.3188416335991247
AY954968.fna,0_1123,1.3239449082903954
MK331931.fna,0_269,2.587792742318818
MT151386.fna,0_415,2.5775896145234123
B4PORFSX.fna,0_2802,1.008660476461372
C2PVCG.fna,0_2554,1.1779024349602119
CAJCJZ010000002.fna,0_614,1.4708661981700941
CAJDJX010000002.fna,0_1274,1.317352418570651
CAJDJY010000002.fna,0_378,2.5798142866157874
CAJDJZ010000002.fna,0_343,1.58147270281595
CAJDKA010000002.fna,0_215,1.5942525034440869
CAJDKB010000002.fna,0_1488,1.308952584654309
CAJDKF010000002.fna,0_1321,1.3151617398846294
CP000315.fna,0_1772,1.2954168878290422
CP002495.fna,0_2390,1.2471855146642032
CP002889.fna,0_1466,1.3101064324871854
CP003186.fna,0_1298,1.3163038576798898
CP011103.fna,0_1302,1.316174373686028
LN681537.fna,0_517,2.564792330031899
CP018841.fna,0_2653,1.140444182349416
CP019719.fna,0_971,1.3345681204351982
CP027117.fna,0_553,1.5418316864407058
CP050061.fna,0_704,1.3916408341284603
CP052843.fna,0_2306,1.256547900418889
CP062422.fna,0_1115,1.324134779103849
CP062426.fna,0_1347,1.3141757368081213
CP062427.fna,0_1173,1.3221277659628483
CP062430.fna,0_1015,1.33098771350073
CP062434.fna,0_1038,2.3295018279710096
CP062435.fna,0_1652,2.301537758056767
CP062436.fna,0_1076,1.326078867357114
CP062442.fna,0_984,1.3333413100863267
CP062447.fna,0_1071,1.3265090823560848
CP062451.fna,0_1150,1.3227117119738425
CP062454.fna,0_1233,1.3193681133678372
CP062457.fna,0_1547,1.3064692742073407
CP062461.fna,0_964,1.3348440321417652
CP062462.fna,0_1200,1.3209450053193104
CP063417.fna,0_791,1.3771660534946832
CP063964.fna,0_2058,1.2786288367156478
CP063968.fna,0_843,1.3638976411699848
CP067347.fna,0_504,1.5668017008797337
CP067352.fna,0_557,1.5315757301554962
CP069347.fna,0_2150,1.2722859029203701
CP069348.fna,0_508,1.566139074999013
CP071049.fna,0_1238,1.3191586966515225
CP124934.fna,0_2454,2.235341576843161
CP103806.fna,0_2071,1.2774802662341282
CP103976.fna,0_676,1.4070560801200114
CP124927.fna,0_1968,1.2842942915540996
CP124941.fna,0_2394,1.2466152934510513
CP124955.fna,0_2392,1.246993232359666
CP124962.fna,0_2420,1.2425885303805058
DQ003637.fna,0_1681,1.2997905101699323
DQ003638.fna,0_453,1.5743391988738478
DQ003639.fna,0_1223,1.319974791346442
DQ003640.fna,0_905,1.3463973388405526
DQ003641.fna,0_2006,1.2820749147754342
DQ003642.fna,0_1767,1.2955992304373862
MT178766.fna,0_487,2.569727927808242
DQ054536.fna,0_2465,1.232711766810489
DQ150593.fna,0_1788,1.294743173029095
DQ222853.fna,0_1863,2.290070172028506
DQ222855.fna,0_1775,1.295274326051215
DQ227763.fna,0_2389,1.2472211038212033
DQ227764.fna,0_2486,1.224294905035224
DQ289555.fna,0_1451,1.3106863789088168
DQ289556.fna,0_1851,1.2912789804360827
DQ320509.fna,0_1756,1.2962532631911454
DQ340064.fna,0_2107,1.2750583279530647
DQ386162.fna,0_2377,1.248314403123148
DQ394806.fna,0_1879,1.2898683228306083
DQ394807.fna,0_2027,1.280688398052404
DQ394808.fna,0_1986,1.283102990078755
DQ394809.fna,0_2090,1.276394046725338
DQ394810.fna,0_2193,1.2684344484979402
DQ453159.fna,0_1452,1.3106651238258729
DQ466086.fna,0_763,1.3811702207509051
DQ490056.fna,0_2503,1.2169259122203457
DQ517338.fna,0_1077,1.326054116437712
DQ530359.fna,0_1164,1.3223796594102897
DQ530360.fna,0_1158,1.3224652366625924
OR844996.fna,0_551,2.5173799374138905
DQ530362.fna,0_1151,1.3226865742452159
DQ535032.fna,0_632,1.454450309333993
DQ831957.fna,0_1127,1.3238449095592006
DQ834250.fna,0_1065,1.326928585776007
DQ838728.fna,0_2197,2.267772628264374
DQ840344.fna,0_2076,1.277374985723954
DQ864624.fna,0_1489,1.3089365157424027
DQ908929.fna,0_1275,1.3173472656360405
EF116926.fna,0_1983,1.2832658256394454
EF207558.fna,0_1723,1.2978882326208558
EF455602.fna,0_2108,1.2749080140310278
EF462197.fna,0_1265,1.3178208244964509
EF462198.fna,0_915,1.3446457951723874
EF462199.fna,0_1183,1.321597836697277
EF529515.fna,0_2033,1.2803770407788075
EF583821.fna,0_22,1.6751704912223255
EU081845.fna,0_787,1.3775256788971735
EU136189.fna,0_2707,2.130125156144524
MG253651.fna,0_2425,2.2374942843219237
EU246945.fna,0_1565,1.3059702719603337
EU340421.fna,0_2307,1.2564933493767554
EU408779.fna,0_2785,1.0841510846140112
EU409559.fna,0_880,1.3520084839063955
EU418428.fna,0_281,1.586494169293664
EU438902.fna,0_2647,1.1416395658132883
EU588980.fna,0_1694,1.2991526641697337
EU622808.fna,0_2649,1.1415353768112326
EU719189.fna,0_852,1.3584868380880888
EU771092.fna,0_2627,1.1475760392625456
EU855793.fna,0_2022,1.2809566617489745
EU861004.fna,0_1234,1.3193272674253795
EU861005.fna,0_986,1.333259914283683
EU871039.fna,0_1676,1.3001645122711984
EU874396.fna,0_828,1.367563617532264
EU887664.fna,0_1836,2.291633978701482
FJ226752.fna,0_2037,1.2802670432997534
FJ230960.fna,0_506,1.5662095238915614
FJ236310.fna,0_2091,1.276300688876574
FJ429185.fna,0_693,1.394343275105455
FJ713816.fna,0_1041,1.3291409642747993
FJ792813.fna,0_2604,1.167295542880463
FJ822135.fna,0_345,1.581313847740676
FJ848881.fna,0_2475,1.2296929110566928
FJ848882.fna,0_2285,1.2588065152508863
FJ848883.fna,0_2432,2.2395135135693853
FJ848884.fna,0_2464,2.231183418653124
FJ965538.fna,0_1873,1.290178053187109
FM163528.fna,0_1656,1.3012882176780955
FM864213.fna,0_728,1.38725245281397
FN391954.fna,0_2332,1.2526056022289138
FN997652.fna,0_675,1.4072332819836708
FR671405.fna,0_1877,1.2900320090073363
FR671406.fna,0_1545,1.3065938458024986
FR671407.fna,0_1820,1.292801729930226
FR671408.fna,0_2294,1.2577852487215853
FR671409.fna,0_2262,1.261622121541961
FR671410.fna,0_1998,1.28248672916662
FR671411.fna,0_1963,1.2844562365532695
GQ398772.fna,0_1464,1.3101224150611408
GQ403788.fna,0_1896,1.2884660999828688
JF767210.fna,0_1610,2.3037359516371345
GQ451696.fna,0_2431,1.2399698873931708
GQ452243.fna,0_1205,1.320833473570286
GQ478081.fna,0_1693,2.2984036096755274
GQ478082.fna,0_1670,1.3004710482165716
GQ478085.fna,0_1904,2.2865080033239344
GQ478086.fna,0_1613,1.3037159486780623
GQ478087.fna,0_1522,1.307517774545628
GQ478088.fna,0_1803,1.294067361473918
GQ900512.fna,0_2799,1.0202188963135246
GQ915271.fna,0_2493,1.2196903956552414
OR199844.fna,0_2253,2.2591600357414094
GU169904.fna,0_260,1.5891057959270118
GU229986.fna,0_766,1.3810434396294742
GU233956.fna,0_1662,1.300960607443319
GU323708.fna,0_2247,1.2632478552440682
GU477322.fna,0_1391,1.3124854988314327
GU815339.fna,0_2748,1.1195207865866985
GU949551.fna,0_1816,1.2929632205816701
GU967410.fna,0_903,1.3465730698897898
HE614282.fna,0_1188,2.3209732086214947
HE861935.fna,0_972,1.3345109914580333
HE956704.fna,0_1929,1.2865387274627031
HE962497.fna,0_725,1.3878528998434736
HF563658.fna,0_1850,1.291290600666243
HF937074.fna,0_2723,1.1277810083279811
HG380752.fna,0_1317,1.315364644778629
HG424323.fna,0_890,1.3492099110013553
HG531805.fna,0_815,1.3723159189551386
HG796225.fna,0_2200,2.2659736407824127
HG799490.fna,0_1569,1.3058399086529477
HG799496.fna,0_1637,1.302527544879652
HG799497.fna,0_1735,1.2971203684621826
HM029250.fna,0_555,1.5349104067456807
HM144385.fna,0_1891,1.2888248510076075
HM144386.fna,0_1349,1.3141182122819028
HM144387.fna,0_151,1.6028073197988801
HM159959.fna,0_708,1.3911571853027604
HM242243.fna,0_538,1.5570129703984303
HM568888.fna,0_1415,1.3118680706309354
HM596271.fna,0_1700,1.2989059759967083
HM640230.fna,0_2755,1.1169814761095962
JQ779024.fna,0_1082,2.3204773831054526
HQ141410.fna,0_1228,1.3197353815161943
HQ141411.fna,0_1320,1.315203376861115
MW528836.fna,0_289,2.585375547102512
HQ268735.fna,0_765,1.3810472825693823
HQ332138.fna,0_1818,1.2928478823726848
JF731128.fna,0_714,1.3890192026995685
JF767208.fna,0_1745,1.2967637443500144
JF767209.fna,0_1748,1.2966504077567413
JF966203.fna,0_180,1.5987067720196757
JN051154.fna,0_1782,1.2949660728182888
MG710484.fna,0_1280,2.3159035700360278
JN192400.fna,0_1101,1.3246485956249123
JN192401.fna,0_1277,1.3172596470336586
JN638751.fna,0_1,1.853402216665999
JN654439.fna,0_136,1.6047473160480972
JN700519.fna,0_1549,1.3064150903461575
JN700520.fna,0_1027,1.3302217612393563
JN700521.fna,0_1443,1.3109518920507588
JN712910.fna,0_577,1.4911916855256249
JN797796.fna,0_73,2.6105337578169148
JN797797.fna,0_162,2.6000956003395914
JN797798.fna,0_175,1.5992828587417605
JN800508.fna,0_2642,1.1434490886026691
JQ062992.fna,0_1046,1.32869637570586
JQ246028.fna,0_918,1.3437806655780467
JQ309827.fna,0_2702,1.132298204960494
JQ341413.fna,0_2201,1.2681308589393137
JQ619704.fna,0_1401,1.312258784764368
JQ659259.fna,0_2509,1.2141589335643395
JQ660954.fna,0_2198,1.268227795345973
KY779849.fna,0_332,2.579735762815003
JQ729990.fna,0_2667,1.1373735041767632
JQ729991.fna,0_2703,1.132298204960494
JQ729992.fna,0_2695,1.1335751910285001
JQ740787.fna,0_2271,1.2603663138921664
JQ740791.fna,0_2263,2.2612470050029736
JQ740796.fna,0_2293,2.257526785403029
JQ740790.fna,0_2228,1.2654251014056093
JQ740792.fna,0_2267,2.2607653567777883
JQ740811.fna,0_2275,2.258621124201266
JQ740804.fna,0_2311,2.2558699870712755
JQ740807.fna,0_2361,1.2498105161289854
JQ740813.fna,0_2273,1.260165245411843
JQ779023.fna,0_976,2.334177192537548
JQ797329.fna,0_501,1.5670188636504103
JQ957932.fna,0_974,1.3343490443538073
JQ973847.fna,0_1368,1.313458205686234
JX013863.fna,0_991,1.332770897704127
JX080300.fna,0_279,1.5866507717840612
JX080301.fna,0_384,1.5796372754827965
JX080302.fna,0_240,2.5892330256818665
