genome,threshold,cluster_method,comparison_algorithm,greedy_representative,primary_cluster,original_secondary_cluster,secondary_cluster
AB009866.fna,0.005,greedy,fastANI,True,0,0_1307,0_1307
AB016282.fna,0.005,greedy,fastANI,True,0,0_1580,0_1580
AB044554.fna,0.005,greedy,fastANI,True,0,0_908,0_908
AB045978.fna,0.005,greedy,fastANI,True,0,0_1125,0_1125
AB243556.fna,0.005,greedy,fastANI,True,0,0_956,0_956
AB370205.fna,0.005,greedy,fastANI,True,0,0_988,0_988
AB370268.fna,0.005,greedy,fastANI,True,0,0_1120,0_1120
AB605730.fna,0.005,greedy,fastANI,True,0,0_267,0_267
AB609718.fna,0.005,greedy,fastANI,False,0,0_310,0_310
AB626962.fna,0.005,greedy,fastANI,True,0,0_2630,0_2630
AB626963.fna,0.005,greedy,fastANI,True,0,0_2629,0_2629
AB711120.fna,0.005,greedy,fastANI,True,0,0_793,0_793
AB712291.fna,0.005,greedy,fastANI,True,0,0_759,0_759
AB823818.fna,0.005,greedy,fastANI,True,0,0_1711,0_1711
AB853330.fna,0.005,greedy,fastANI,True,0,0_374,0_374
AB853331.fna,0.005,greedy,fastANI,True,0,0_465,0_465
AB903967.fna,0.005,greedy,fastANI,True,0,0_309,0_309
AB930182.fna,0.005,greedy,fastANI,True,0,0_194,0_194
ACSJ01000013.fna,0.005,greedy,fastANI,True,0,0_2740,0_2740
ACSJ01000015.fna,0.005,greedy,fastANI,True,0,0_2678,0_2678
ACSJ01000017.fna,0.005,greedy,fastANI,True,0,0_587,0_587
ACSJ01000018.fna,0.005,greedy,fastANI,True,0,0_2723,0_2723
AF009630.fna,0.005,greedy,fastANI,True,0,0_2252,0_2252
AF011378.fna,0.005,greedy,fastANI,False,0,0_2407,0_2407
AF020713.fna,0.005,greedy,fastANI,True,0,0_442,0_442
AF085222.fna,0.005,greedy,fastANI,True,0,0_2037,0_2037
AF109874.fna,0.005,greedy,fastANI,True,0,0_1682,0_1682
AF115102.fna,0.005,greedy,fastANI,True,0,0_1792,0_1792
AF115103.fna,0.005,greedy,fastANI,True,0,0_1409,0_1409
AF145054.fna,0.005,greedy,fastANI,True,0,0_1980,0_1980
AF158600.fna,0.005,greedy,fastANI,True,0,0_1525,0_1525
AF176025.fna,0.005,greedy,fastANI,False,0,0_1500,0_1500
AF195902.fna,0.005,greedy,fastANI,True,0,0_1387,0_1387
AF242738.fna,0.005,greedy,fastANI,True,0,0_2228,0_2228
AF304433.fna,0.005,greedy,fastANI,True,0,0_1755,0_1755
AF323668.fna,0.005,greedy,fastANI,True,0,0_1974,0_1974
AF323669.fna,0.005,greedy,fastANI,True,0,0_1251,0_1251
AF323670.fna,0.005,greedy,fastANI,True,0,0_1832,0_1832
AF323671.fna,0.005,greedy,fastANI,True,0,0_2715,0_2715
AF323672.fna,0.005,greedy,fastANI,True,0,0_2722,0_2722
AF323673.fna,0.005,greedy,fastANI,True,0,0_2713,0_2713
AF349457.fna,0.005,greedy,fastANI,True,0,0_1848,0_1848
AF424781.fna,0.005,greedy,fastANI,True,0,0_1038,0_1038
AF424782.fna,0.005,greedy,fastANI,True,0,0_951,0_951
AF424783.fna,0.005,greedy,fastANI,True,0,0_1154,0_1154
AF489521.fna,0.005,greedy,fastANI,True,0,0_1862,0_1862
AF513032.fna,0.005,greedy,fastANI,True,0,0_2694,0_2694
AF513033.fna,0.005,greedy,fastANI,True,0,0_2625,0_2625
AJ131519.fna,0.005,greedy,fastANI,True,0,0_1023,0_1023
AJ242593.fna,0.005,greedy,fastANI,True,0,0_1395,0_1395
AJ245616.fna,0.005,greedy,fastANI,True,0,0_1500,0_1500
AJ251789.fna,0.005,greedy,fastANI,True,0,0_1070,0_1070
AJ302074.fna,0.005,greedy,fastANI,True,0,0_1465,0_1465
AJ312240.fna,0.005,greedy,fastANI,True,0,0_1763,0_1763
AJ421943.fna,0.005,greedy,fastANI,True,0,0_2738,0_2738
AJ536073.fna,0.005,greedy,fastANI,False,0,0_2714,0_2714
AJ609634.fna,0.005,greedy,fastANI,True,0,0_1126,0_1126
AM749121.fna,0.005,greedy,fastANI,True,0,0_2274,0_2274
